Scenario,Grid,Avg_Volt_Base,Avg_Volt_RL,Violations_Base,Violations_RL,RMSE_Base,RMSE_RL,Resilience_Improvement_%
1,ieee13,0.886,0.952,3,2,0.281,0.111,60.48
2,ieee33,0.901,0.969,2,0,0.261,0.032,87.85
3,ieee300,0.844,0.844,3,3,0.45,0.45,0.0
4,ieee118,0.985,0.985,0,0,0.015,0.015,0.0
5,cigre_mv,0.857,0.987,3,0,0.366,0.019,94.84
6,gbnetwork,0.727,0.835,15,15,0.395,0.166,58.02
7,ieee13,0.828,0.96,3,1,0.38,0.106,72.0
8,ieee33,0.772,0.968,4,0,0.448,0.032,92.88
9,ieee118,0.985,0.985,0,0,0.015,0.015,0.0
10,cigre_mv,0.985,0.989,2,0,0.025,0.016,37.43
